ATCC8482_locus_tag	CL09_locus_tag	ATCC8482_gene	CL09_gene	ATCC8482_product	CL09_product	forward_bitscore	reverse_bitscore	forward_pident	reverse_pident	forward_qcovs	reverse_qcovs
JJAGMNAF_00019	BHNFMJIF_02476	fusA_1	fusA_2	Elongation factor G	Elongation factor G	1459.0	1459.0	99.861	99.861	100.0	100.0
JJAGMNAF_00020	BHNFMJIF_02475			hypothetical protein	hypothetical protein	78.6	78.6	100.0	100.0	100.0	100.0
JJAGMNAF_00021	BHNFMJIF_02474	hemW	hemW	Heme chaperone HemW	Heme chaperone HemW	785.0	785.0	99.468	99.468	100.0	100.0
JJAGMNAF_00047	BHNFMJIF_02473			Keratan-sulfate endo-1,4-beta-galactosidase	Keratan-sulfate endo-1,4-beta-galactosidase	553.0	553.0	100.0	100.0	100.0	100.0
JJAGMNAF_00049	BHNFMJIF_02472	algC	algC	Phosphomannomutase/phosphoglucomutase	Phosphomannomutase/phosphoglucomutase	924.0	924.0	100.0	100.0	100.0	100.0
JJAGMNAF_00050	BHNFMJIF_02471			hypothetical protein	hypothetical protein	433.0	433.0	99.052	99.052	100.0	100.0
JJAGMNAF_00051	BHNFMJIF_02470	nrnA	nrnA	Bifunctional oligoribonuclease and PAP phosphatase NrnA	Bifunctional oligoribonuclease and PAP phosphatase NrnA	721.0	721.0	100.0	100.0	100.0	100.0
JJAGMNAF_00052	BHNFMJIF_02469			hypothetical protein	hypothetical protein	1231.0	1235.0	98.905	98.905	100.0	100.0
JJAGMNAF_00053	BHNFMJIF_02468	rpe	rpe	Ribulose-phosphate 3-epimerase	Ribulose-phosphate 3-epimerase	442.0	442.0	100.0	100.0	100.0	100.0
JJAGMNAF_00054	BHNFMJIF_02467			hypothetical protein	hypothetical protein	733.0	733.0	100.0	100.0	100.0	100.0
JJAGMNAF_00055	BHNFMJIF_02466	algU_1	algU	RNA polymerase sigma-H factor	RNA polymerase sigma-H factor	374.0	374.0	100.0	100.0	100.0	100.0
JJAGMNAF_00056	BHNFMJIF_02465			hypothetical protein	hypothetical protein	508.0	529.0	99.231	99.231	100.0	100.0
JJAGMNAF_00057	BHNFMJIF_02464	fmt	fmt	Methionyl-tRNA formyltransferase	Methionyl-tRNA formyltransferase	669.0	669.0	100.0	100.0	100.0	100.0
JJAGMNAF_00058	BHNFMJIF_02463	clcB	clcB	Voltage-gated ClC-type chloride channel ClcB	Voltage-gated ClC-type chloride channel ClcB	1176.0	1176.0	100.0	100.0	100.0	100.0
JJAGMNAF_00059	BHNFMJIF_02462	tsaC	tsaC	Threonylcarbamoyl-AMP synthase	Threonylcarbamoyl-AMP synthase	392.0	392.0	100.0	100.0	100.0	100.0
JJAGMNAF_00060	BHNFMJIF_02461	nagA_1	nagA_1	N-acetylglucosamine-6-phosphate deacetylase	N-acetylglucosamine-6-phosphate deacetylase	799.0	799.0	99.742	99.742	100.0	100.0
JJAGMNAF_00061	BHNFMJIF_02460	mdtC_1	mdtC_2	Multidrug resistance protein MdtC	Multidrug resistance protein MdtC	2014.0	2014.0	100.0	100.0	100.0	100.0
JJAGMNAF_00062	BHNFMJIF_02459			hypothetical protein	hypothetical protein	1017.0	1017.0	99.596	99.596	100.0	100.0
JJAGMNAF_00063	BHNFMJIF_02458	mdtC_2	mdtC_1	Multidrug resistance protein MdtC	Multidrug resistance protein MdtC	2029.0	2029.0	99.903	99.903	100.0	100.0
JJAGMNAF_00064	BHNFMJIF_02457	mdtA_1	mdtA_2	Multidrug resistance protein MdtA	Multidrug resistance protein MdtA	693.0	693.0	99.718	99.718	100.0	100.0
JJAGMNAF_00065	BHNFMJIF_02456			hypothetical protein	hypothetical protein	960.0	994.0	89.617	89.617	100.0	99.0
JJAGMNAF_00068	BHNFMJIF_02436			hypothetical protein	hypothetical protein	1105.0	1105.0	98.33	98.33	85.0	99.0
JJAGMNAF_00069	BHNFMJIF_02435			hypothetical protein	hypothetical protein	717.0	717.0	99.725	99.725	100.0	100.0
JJAGMNAF_00070	BHNFMJIF_02434			hypothetical protein	hypothetical protein	162.0	162.0	95.122	95.122	100.0	100.0
JJAGMNAF_00071	BHNFMJIF_02425			hypothetical protein	hypothetical protein	587.0	587.0	98.264	98.264	100.0	100.0
JJAGMNAF_00072	BHNFMJIF_02424			hypothetical protein	hypothetical protein	149.0	149.0	100.0	100.0	100.0	100.0
JJAGMNAF_00073	BHNFMJIF_02423			hypothetical protein	hypothetical protein	683.0	683.0	100.0	100.0	100.0	100.0
JJAGMNAF_00074	BHNFMJIF_02422			hypothetical protein	hypothetical protein	724.0	724.0	98.329	98.329	100.0	100.0
JJAGMNAF_00075	BHNFMJIF_02421	nadX	nadX	L-aspartate dehydrogenase	L-aspartate dehydrogenase	518.0	518.0	99.618	99.618	100.0	100.0
JJAGMNAF_00076	BHNFMJIF_02420	hpr_1	hpr_1	Hydroxypyruvate reductase	Hydroxypyruvate reductase	581.0	581.0	99.66	99.66	100.0	100.0
JJAGMNAF_00077	BHNFMJIF_02419	djlA	djlA	Co-chaperone protein DjlA	Co-chaperone protein DjlA	494.0	494.0	100.0	100.0	100.0	100.0
JJAGMNAF_00078	BHNFMJIF_02418	prfC	prfC	Peptide chain release factor 3	Peptide chain release factor 3	1064.0	1064.0	100.0	100.0	100.0	100.0
JJAGMNAF_00079	BHNFMJIF_02417	rmlD_1	rmlD	dTDP-4-dehydrorhamnose reductase	dTDP-4-dehydrorhamnose reductase	594.0	594.0	100.0	100.0	100.0	100.0
JJAGMNAF_00080	BHNFMJIF_02416			hypothetical protein	hypothetical protein	365.0	365.0	99.444	99.444	100.0	100.0
JJAGMNAF_00081	BHNFMJIF_02415			hypothetical protein	hypothetical protein	397.0	397.0	100.0	100.0	100.0	100.0
JJAGMNAF_00082	BHNFMJIF_02414	purL	purL	Phosphoribosylformylglycinamidine synthase	Phosphoribosylformylglycinamidine synthase	2543.0	2543.0	99.919	99.919	100.0	100.0
JJAGMNAF_00083	BHNFMJIF_02413	rcsC_2	rcsC_22	Sensor histidine kinase RcsC	Sensor histidine kinase RcsC	2671.0	2671.0	99.851	99.851	100.0	100.0
JJAGMNAF_00084	BHNFMJIF_02412			hypothetical protein	hypothetical protein	327.0	327.0	100.0	100.0	100.0	100.0
JJAGMNAF_00085	BHNFMJIF_02411	srpC_1	srpC_1	putative chromate transport protein	putative chromate transport protein	323.0	323.0	100.0	100.0	100.0	100.0
JJAGMNAF_00086	BHNFMJIF_02410			hypothetical protein	hypothetical protein	1023.0	1023.0	99.8	99.8	100.0	100.0
JJAGMNAF_00087	BHNFMJIF_02409	uvrA_1	uvrA_1	UvrABC system protein A	UvrABC system protein A	1902.0	1902.0	99.678	99.678	100.0	100.0
JJAGMNAF_00088	BHNFMJIF_02408			hypothetical protein	hypothetical protein	678.0	678.0	100.0	100.0	100.0	100.0
JJAGMNAF_00089	BHNFMJIF_02407			hypothetical protein	hypothetical protein	1595.0	1595.0	99.609	99.609	100.0	100.0
JJAGMNAF_00090	BHNFMJIF_02406			hypothetical protein	hypothetical protein	331.0	331.0	100.0	100.0	100.0	100.0
JJAGMNAF_00091	BHNFMJIF_02405			hypothetical protein	hypothetical protein	120.0	120.0	100.0	100.0	100.0	100.0
JJAGMNAF_00092	BHNFMJIF_02404			hypothetical protein	hypothetical protein	926.0	926.0	100.0	100.0	100.0	100.0
JJAGMNAF_00093	BHNFMJIF_02403			hypothetical protein	hypothetical protein	1127.0	1127.0	99.463	99.463	100.0	100.0
JJAGMNAF_00094	BHNFMJIF_02402			hypothetical protein	hypothetical protein	144.0	144.0	100.0	100.0	100.0	100.0
JJAGMNAF_00095	BHNFMJIF_02401			hypothetical protein	hypothetical protein	684.0	684.0	100.0	100.0	100.0	100.0
JJAGMNAF_00096	BHNFMJIF_02400			hypothetical protein	hypothetical protein	395.0	395.0	100.0	100.0	100.0	100.0
JJAGMNAF_00097	BHNFMJIF_02399	purM	purM	Phosphoribosylformylglycinamidine cyclo-ligase	Phosphoribosylformylglycinamidine cyclo-ligase	801.0	801.0	100.0	100.0	100.0	100.0
JJAGMNAF_00098	BHNFMJIF_02398	prfA	prfA	Peptide chain release factor 1	Peptide chain release factor 1	746.0	746.0	100.0	100.0	100.0	100.0
JJAGMNAF_00099	BHNFMJIF_02397	pyrF	pyrF	Orotidine 5'-phosphate decarboxylase	Orotidine 5'-phosphate decarboxylase	569.0	569.0	100.0	100.0	100.0	100.0
JJAGMNAF_00100	BHNFMJIF_02396			hypothetical protein	hypothetical protein	814.0	814.0	99.513	99.513	100.0	100.0
JJAGMNAF_00101	BHNFMJIF_02395	lpxD	lpxD	UDP-3-O-acylglucosamine N-acyltransferase	UDP-3-O-acylglucosamine N-acyltransferase	706.0	706.0	100.0	100.0	100.0	100.0
JJAGMNAF_00102	BHNFMJIF_02394	lpxC	lpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase	UDP-3-O-acyl-N-acetylglucosamine deacetylase	919.0	919.0	100.0	100.0	100.0	100.0
JJAGMNAF_00103	BHNFMJIF_02393	lpxA_1	lpxA_1	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	507.0	507.0	100.0	100.0	100.0	100.0
JJAGMNAF_00104	BHNFMJIF_02392			hypothetical protein	hypothetical protein	376.0	376.0	100.0	100.0	100.0	100.0
JJAGMNAF_00105	BHNFMJIF_02391	miaA_1	miaA_1	tRNA dimethylallyltransferase	tRNA dimethylallyltransferase	624.0	624.0	99.667	99.667	100.0	100.0
JJAGMNAF_00106	BHNFMJIF_02390			hypothetical protein	hypothetical protein	1424.0	1424.0	99.853	99.853	100.0	100.0
JJAGMNAF_00107	BHNFMJIF_02389			hypothetical protein	hypothetical protein	73.6	73.6	94.444	94.444	100.0	100.0
JJAGMNAF_00108	BHNFMJIF_02388			hypothetical protein	hypothetical protein	452.0	463.0	98.054	98.054	100.0	100.0
JJAGMNAF_00116	BHNFMJIF_02387	resA_1	resA_11	Thiol-disulfide oxidoreductase ResA	Thiol-disulfide oxidoreductase ResA	1357.0	1358.0	98.433	98.433	100.0	100.0
JJAGMNAF_00117	BHNFMJIF_02386	resA_2	resA_10	Thiol-disulfide oxidoreductase ResA	Thiol-disulfide oxidoreductase ResA	788.0	788.0	99.242	99.242	100.0	100.0
JJAGMNAF_00118	BHNFMJIF_02385	bepA_1	bepA_5	Beta-barrel assembly-enhancing protease	Beta-barrel assembly-enhancing protease	920.0	920.0	99.553	99.553	100.0	100.0
JJAGMNAF_00119	BHNFMJIF_02384			hypothetical protein	hypothetical protein	1181.0	1182.0	98.567	98.567	100.0	100.0
JJAGMNAF_00120	BHNFMJIF_02383			hypothetical protein	hypothetical protein	259.0	259.0	99.213	99.213	100.0	100.0
JJAGMNAF_00121	BHNFMJIF_02382			Unsaturated glucuronyl hydrolase	Unsaturated glucuronyl hydrolase	786.0	786.0	99.509	99.509	100.0	100.0
JJAGMNAF_00122	BHNFMJIF_02381			Beta-xylosidase	Beta-xylosidase	1130.0	1130.0	99.818	99.818	100.0	100.0
JJAGMNAF_00123	BHNFMJIF_02380			Retaining alpha-galactosidase	Retaining alpha-galactosidase	1318.0	1318.0	99.38	99.38	100.0	100.0
JJAGMNAF_00124	BHNFMJIF_02379			hypothetical protein	hypothetical protein	1791.0	1791.0	99.658	99.658	100.0	100.0
JJAGMNAF_00125	BHNFMJIF_02378			hypothetical protein	hypothetical protein	743.0	743.0	99.446	99.446	100.0	100.0
JJAGMNAF_00126	BHNFMJIF_02377			hypothetical protein	hypothetical protein	1334.0	1334.0	99.219	99.219	100.0	100.0
JJAGMNAF_00127	BHNFMJIF_02376			hypothetical protein	hypothetical protein	942.0	942.0	99.132	99.132	100.0	100.0
JJAGMNAF_00128	BHNFMJIF_02375			hypothetical protein	hypothetical protein	985.0	985.0	99.593	99.593	100.0	92.0
JJAGMNAF_00130	BHNFMJIF_02374			hypothetical protein	hypothetical protein	540.0	563.0	98.387	98.387	100.0	100.0
JJAGMNAF_00131	BHNFMJIF_02373			hypothetical protein	hypothetical protein	905.0	901.0	95.217	95.405	96.0	96.0
JJAGMNAF_00134	BHNFMJIF_02367			hypothetical protein	hypothetical protein	344.0	344.0	99.415	99.415	100.0	100.0
JJAGMNAF_00135	BHNFMJIF_02366			hypothetical protein	hypothetical protein	1808.0	1810.0	99.573	99.573	100.0	100.0
JJAGMNAF_00136	BHNFMJIF_02365			hypothetical protein	hypothetical protein	1897.0	1897.0	99.78	99.78	100.0	99.0
JJAGMNAF_00137	BHNFMJIF_02364			hypothetical protein	hypothetical protein	1118.0	1118.0	99.814	99.814	100.0	100.0
JJAGMNAF_00138	BHNFMJIF_02363			Beta-xylosidase	Beta-xylosidase	1635.0	1635.0	99.492	99.492	100.0	100.0
JJAGMNAF_00139	BHNFMJIF_02362			hypothetical protein	hypothetical protein	2385.0	2385.0	99.649	99.649	100.0	100.0
JJAGMNAF_00140	BHNFMJIF_02361			Retaining alpha-galactosidase	Retaining alpha-galactosidase	1339.0	1339.0	99.845	99.845	100.0	100.0
JJAGMNAF_00141	BHNFMJIF_02360			SusD-like protein P25	SusD-like protein P25	1190.0	1190.0	99.671	99.671	100.0	100.0
JJAGMNAF_00142	BHNFMJIF_02359			TonB-dependent receptor P39	TonB-dependent receptor P39	1956.0	1956.0	99.902	99.902	100.0	100.0
JJAGMNAF_00143	BHNFMJIF_02358			hypothetical protein	hypothetical protein	343.0	343.0	100.0	100.0	100.0	100.0
JJAGMNAF_00144	BHNFMJIF_02357			Unsaturated glucuronyl hydrolase	Unsaturated glucuronyl hydrolase	795.0	795.0	99.755	99.755	100.0	100.0
JJAGMNAF_00145	BHNFMJIF_02356			hypothetical protein	hypothetical protein	1778.0	1804.0	98.822	98.822	100.0	100.0
JJAGMNAF_00148	BHNFMJIF_03970			hypothetical protein	hypothetical protein	257.0	257.0	99.219	99.219	100.0	100.0
JJAGMNAF_00149	BHNFMJIF_03969			hypothetical protein	hypothetical protein	1195.0	1195.0	99.838	99.838	100.0	100.0
JJAGMNAF_00150	BHNFMJIF_03968	ribBA	ribBA_2	Riboflavin biosynthesis protein RibBA	Riboflavin biosynthesis protein RibBA	832.0	832.0	100.0	100.0	100.0	100.0
JJAGMNAF_00151	BHNFMJIF_03967			Aspartate/prephenate aminotransferase	Aspartate/prephenate aminotransferase	824.0	824.0	100.0	100.0	100.0	100.0
JJAGMNAF_00152	BHNFMJIF_03966			Ferredoxin	Ferredoxin	109.0	109.0	100.0	100.0	100.0	100.0
JJAGMNAF_00153	BHNFMJIF_03965	yfeW	yfeW_2	Putative D-alanyl-D-alanine carboxypeptidase	Putative D-alanyl-D-alanine carboxypeptidase	2014.0	2014.0	99.698	99.698	100.0	100.0
JJAGMNAF_00154	BHNFMJIF_03964	yfkN_1	yfkN_3	Trifunctional nucleotide phosphoesterase protein YfkN	Trifunctional nucleotide phosphoesterase protein YfkN	575.0	575.0	99.643	99.643	100.0	100.0
JJAGMNAF_00155	BHNFMJIF_03963			hypothetical protein	hypothetical protein	530.0	530.0	100.0	100.0	100.0	100.0
JJAGMNAF_00156	BHNFMJIF_03962	rplS	rplS_2	Large ribosomal subunit protein bL19	Large ribosomal subunit protein bL19	234.0	234.0	100.0	100.0	100.0	100.0
JJAGMNAF_00157	BHNFMJIF_03961			hypothetical protein	hypothetical protein	114.0	114.0	97.222	97.222	100.0	100.0
JJAGMNAF_00158	BHNFMJIF_03960	rcsC_3	rcsC_30	Sensor histidine kinase RcsC	Sensor histidine kinase RcsC	2874.0	2874.0	99.37	99.37	100.0	100.0
JJAGMNAF_00159	BHNFMJIF_03959	rhaM	rhaM_2	L-rhamnose mutarotase	L-rhamnose mutarotase	219.0	219.0	100.0	100.0	100.0	100.0
JJAGMNAF_00160	BHNFMJIF_03958			hypothetical protein	hypothetical protein	952.0	951.0	98.938	98.938	100.0	100.0
JJAGMNAF_00161	BHNFMJIF_03957	yesW_1	yesW_2	Rhamnogalacturonan endolyase YesW	Rhamnogalacturonan endolyase YesW	1278.0	1278.0	99.843	99.843	100.0	100.0
JJAGMNAF_00162	BHNFMJIF_03956			hypothetical protein	hypothetical protein	904.0	904.0	99.784	99.784	100.0	100.0
JJAGMNAF_00163	BHNFMJIF_03955			hypothetical protein	hypothetical protein	1615.0	1615.0	98.851	98.851	100.0	100.0
JJAGMNAF_00164	BHNFMJIF_03565			hypothetical protein	hypothetical protein	221.0	221.0	99.083	99.083	86.0	96.0
JJAGMNAF_00165	BHNFMJIF_03954			hypothetical protein	ISAs1 family transposase ISBf9	414.0	392.0	98.049	97.927	85.0	87.0
JJAGMNAF_00166	BHNFMJIF_03953			hypothetical protein	hypothetical protein	805.0	806.0	100.0	100.0	100.0	75.0
JJAGMNAF_00167	BHNFMJIF_03952			hypothetical protein	hypothetical protein	2214.0	2214.0	99.909	99.909	99.0	100.0
JJAGMNAF_00168	BHNFMJIF_03951			hypothetical protein	hypothetical protein	1081.0	1081.0	100.0	100.0	100.0	100.0
JJAGMNAF_00170	BHNFMJIF_03950			Beta-glucuronidase	Beta-glucuronidase	2052.0	2053.0	99.597	99.698	100.0	99.0
JJAGMNAF_00171	BHNFMJIF_03949			hypothetical protein	hypothetical protein	1958.0	1958.0	98.633	98.633	100.0	100.0
JJAGMNAF_00172	BHNFMJIF_03948	atsA_1		Arylsulfatase	N-acetylgalactosamine-6-O-sulfatase	917.0	926.0	99.353	99.353	100.0	100.0
JJAGMNAF_00173	BHNFMJIF_03947			hypothetical protein	hypothetical protein	892.0	892.0	100.0	100.0	100.0	100.0
JJAGMNAF_00174	BHNFMJIF_03946			hypothetical protein	hypothetical protein	1593.0	1593.0	99.87	99.87	100.0	100.0
JJAGMNAF_00175	BHNFMJIF_03945			TonB-dependent receptor P3	TonB-dependent receptor P3	2151.0	2151.0	99.909	99.909	100.0	100.0
JJAGMNAF_00176	BHNFMJIF_03944			hypothetical protein	hypothetical protein	810.0	810.0	100.0	100.0	100.0	100.0
JJAGMNAF_00182	BHNFMJIF_04113			hypothetical protein	hypothetical protein	1225.0	1225.0	98.82	98.82	100.0	100.0
JJAGMNAF_00183	BHNFMJIF_04112			Carbohydrate esterase	Carbohydrate esterase	847.0	847.0	100.0	100.0	100.0	100.0
JJAGMNAF_00184	BHNFMJIF_04111	yesW_3	yesW_3	Rhamnogalacturonan endolyase YesW	Rhamnogalacturonan endolyase YesW	1238.0	1238.0	98.865	98.865	100.0	100.0
JJAGMNAF_00185	BHNFMJIF_04110			hypothetical protein	hypothetical protein	2186.0	2164.0	99.178	99.178	100.0	100.0
JJAGMNAF_00186	BHNFMJIF_04109			Unsaturated 3S-rhamnoglycuronyl hydrolase	Unsaturated 3S-rhamnoglycuronyl hydrolase	783.0	783.0	99.735	99.735	100.0	100.0
JJAGMNAF_00187	BHNFMJIF_04108			Beta-galactosidase	Beta-galactosidase	1427.0	1427.0	99.432	99.432	100.0	100.0
JJAGMNAF_00188	BHNFMJIF_04107			hypothetical protein	hypothetical protein	1636.0	1636.0	99.617	99.617	100.0	100.0
JJAGMNAF_00189	BHNFMJIF_04106	lacZ_1	lacZ_16	Beta-galactosidase	Beta-galactosidase	1989.0	1989.0	98.953	98.953	100.0	100.0
JJAGMNAF_00190	BHNFMJIF_04105			hypothetical protein	hypothetical protein	811.0	811.0	99.528	99.528	100.0	100.0
JJAGMNAF_00191	BHNFMJIF_04104			hypothetical protein	hypothetical protein	959.0	993.0	99.393	99.393	100.0	100.0
JJAGMNAF_00192	BHNFMJIF_04103			hypothetical protein	hypothetical protein	483.0	483.0	99.569	99.569	100.0	100.0
JJAGMNAF_00193	BHNFMJIF_04102			hypothetical protein	hypothetical protein	545.0	545.0	100.0	100.0	100.0	100.0
JJAGMNAF_00194	BHNFMJIF_04101			hypothetical protein	hypothetical protein	979.0	979.0	99.578	99.578	100.0	100.0
JJAGMNAF_00195	BHNFMJIF_04100			hypothetical protein	Putative beta-glucuronidase	1886.0	1893.0	99.348	99.348	100.0	100.0
JJAGMNAF_00196	BHNFMJIF_04099	iaaA	iaaA	Isoaspartyl peptidase	Isoaspartyl peptidase	629.0	629.0	99.39	99.39	100.0	100.0
JJAGMNAF_00197	BHNFMJIF_04098			hypothetical protein	hypothetical protein	109.0	109.0	100.0	100.0	100.0	100.0
JJAGMNAF_00198	BHNFMJIF_04097			hypothetical protein	hypothetical protein	88.6	88.6	100.0	100.0	100.0	100.0
JJAGMNAF_00199	BHNFMJIF_04096			L-fucose mutarotase	L-fucose mutarotase	270.0	270.0	100.0	100.0	100.0	100.0
JJAGMNAF_00200	BHNFMJIF_04095	glk	glk	Glucokinase	Glucokinase	649.0	649.0	99.69	99.69	100.0	100.0
JJAGMNAF_00201	BHNFMJIF_04094	yknY_1	yknY_6	putative ABC transporter ATP-binding protein YknY	putative ABC transporter ATP-binding protein YknY	487.0	487.0	100.0	100.0	100.0	100.0
JJAGMNAF_00202	BHNFMJIF_04093	macB_1	macB_3	Macrolide export ATP-binding/permease protein MacB	Macrolide export ATP-binding/permease protein MacB	848.0	848.0	100.0	100.0	100.0	100.0
JJAGMNAF_00203	BHNFMJIF_04092	macB_2	macB_2	Macrolide export ATP-binding/permease protein MacB	Macrolide export ATP-binding/permease protein MacB	793.0	793.0	100.0	100.0	100.0	100.0
JJAGMNAF_00204	BHNFMJIF_04091	macA	macA	Macrolide export protein MacA	Macrolide export protein MacA	703.0	703.0	99.451	99.451	100.0	100.0
JJAGMNAF_00205	BHNFMJIF_04090	srpC_2	srpC_2	Solvent efflux pump outer membrane protein SrpC	Solvent efflux pump outer membrane protein SrpC	808.0	808.0	100.0	100.0	100.0	100.0
JJAGMNAF_00207	BHNFMJIF_04089			hypothetical protein	hypothetical protein	624.0	624.0	99.369	99.369	100.0	100.0
JJAGMNAF_00208	BHNFMJIF_04088	cvfB	cvfB	Conserved virulence factor B	Conserved virulence factor B	561.0	561.0	99.639	99.639	100.0	100.0
JJAGMNAF_00209	BHNFMJIF_04087	yqhD	yqhD	NADPH-dependent aldehyde reductase YqhD	NADPH-dependent aldehyde reductase YqhD	959.0	959.0	99.569	99.569	100.0	100.0
JJAGMNAF_00210	BHNFMJIF_04086			hypothetical protein	hypothetical protein	629.0	629.0	100.0	100.0	100.0	100.0
JJAGMNAF_00211	BHNFMJIF_04085	lolD	lolD	Lipoprotein-releasing system ATP-binding protein LolD	Lipoprotein-releasing system ATP-binding protein LolD	442.0	442.0	100.0	100.0	100.0	100.0
JJAGMNAF_00212	BHNFMJIF_04084	tcdA	tcdA	tRNA threonylcarbamoyladenosine dehydratase	tRNA threonylcarbamoyladenosine dehydratase	473.0	473.0	100.0	100.0	100.0	100.0
JJAGMNAF_00213	BHNFMJIF_04083	kefB_1	kefB_3	Glutathione-regulated potassium-efflux system protein KefB	Glutathione-regulated potassium-efflux system protein KefB	1246.0	1256.0	99.72	99.72	100.0	100.0
JJAGMNAF_00214	BHNFMJIF_04082	asd	asd	Aspartate-semialdehyde dehydrogenase	Aspartate-semialdehyde dehydrogenase	678.0	678.0	100.0	100.0	100.0	100.0
JJAGMNAF_00215	BHNFMJIF_04081			hypothetical protein	hypothetical protein	431.0	431.0	99.531	99.531	100.0	100.0
JJAGMNAF_00216	BHNFMJIF_04080	glyQS	glyQS	Glycine--tRNA ligase	Glycine--tRNA ligase	1028.0	1028.0	100.0	100.0	100.0	100.0
JJAGMNAF_00217	BHNFMJIF_04079	gyrA_1	gyrA_2	DNA gyrase subunit A	DNA gyrase subunit A	1800.0	1800.0	100.0	100.0	100.0	100.0
JJAGMNAF_00218	BHNFMJIF_04078			hypothetical protein	hypothetical protein	550.0	550.0	100.0	100.0	100.0	100.0
JJAGMNAF_00219	BHNFMJIF_04077			hypothetical protein	hypothetical protein	715.0	715.0	100.0	100.0	100.0	100.0
JJAGMNAF_00221	BHNFMJIF_04072			hypothetical protein	hypothetical protein	1462.0	1464.0	99.864	99.864	90.0	99.0
JJAGMNAF_00222	BHNFMJIF_04071			Retaining alpha-galactosidase	Retaining alpha-galactosidase	1310.0	1310.0	99.841	99.841	100.0	100.0
JJAGMNAF_00223	BHNFMJIF_04070			L-fucose mutarotase	L-fucose mutarotase	263.0	263.0	100.0	100.0	100.0	100.0
JJAGMNAF_00224	BHNFMJIF_04069			SusD-like protein P25	SusD-like protein P2	1112.0	1112.0	99.819	99.819	98.0	100.0
JJAGMNAF_00225	BHNFMJIF_04068	susC_1	susC_14	TonB-dependent receptor SusC	TonB-dependent receptor SusC	2063.0	2063.0	100.0	100.0	100.0	100.0
JJAGMNAF_00226	BHNFMJIF_04067			hypothetical protein	hypothetical protein	1107.0	1107.0	99.635	99.635	100.0	100.0
