locus_tag	ftype	length_bp	gene	EC_number	COG	product
BHNFMJIF_00102	CDS	702				hypothetical protein
BHNFMJIF_00103	CDS	549				hypothetical protein
BHNFMJIF_00104	CDS	2220	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
BHNFMJIF_00105	CDS	849				hypothetical protein
BHNFMJIF_00106	CDS	630	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
BHNFMJIF_00107	CDS	639	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
BHNFMJIF_00108	CDS	2850	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
BHNFMJIF_00109	CDS	2715				hypothetical protein
BHNFMJIF_00110	CDS	237				hypothetical protein
BHNFMJIF_00111	CDS	228				hypothetical protein
BHNFMJIF_00112	CDS	1668	fhs	6.3.4.3		Formate--tetrahydrofolate ligase
BHNFMJIF_00113	CDS	1176	adh2	1.1.1.192	COG1979	Long-chain-alcohol dehydrogenase 2
BHNFMJIF_00114	CDS	1224				hypothetical protein
BHNFMJIF_00115	CDS	582				hypothetical protein
BHNFMJIF_00116	CDS	3654				hypothetical protein
BHNFMJIF_00117	CDS	2058	helD	3.6.4.12	COG3973	DNA helicase IV
BHNFMJIF_00118	CDS	879				hypothetical protein
BHNFMJIF_00119	CDS	1359				hypothetical protein
BHNFMJIF_00120	CDS	789	phnX	3.11.1.1		Phosphonoacetaldehyde hydrolase
BHNFMJIF_00121	CDS	1089	phnW	2.6.1.37		2-aminoethylphosphonate--pyruvate transaminase
BHNFMJIF_00122	CDS	1152				hypothetical protein
BHNFMJIF_00123	CDS	1314	viaA			Regulatory protein ViaA
BHNFMJIF_00124	CDS	1623	ravA	3.6.1.-		Regulatory ATPase RavA
BHNFMJIF_00125	CDS	735				hypothetical protein
BHNFMJIF_00126	CDS	870	atpG		COG0224	ATP synthase gamma chain
BHNFMJIF_00127	CDS	1593	atpA_1	7.1.2.2	COG0056	ATP synthase subunit alpha
BHNFMJIF_00128	CDS	558	atpH		COG0712	ATP synthase subunit delta
BHNFMJIF_00129	CDS	501	atpF		COG0711	ATP synthase subunit b
BHNFMJIF_00130	CDS	255	atpE_1		COG0636	ATP synthase subunit c
BHNFMJIF_00131	CDS	1092	atpB			ATP synthase subunit a
BHNFMJIF_00132	CDS	414				hypothetical protein
BHNFMJIF_00133	CDS	255	atpC		COG0355	ATP synthase epsilon chain
BHNFMJIF_00134	CDS	1536	atpD_1	7.1.2.2	COG0055	ATP synthase subunit beta
BHNFMJIF_00135	CDS	1551				hypothetical protein
BHNFMJIF_00136	CDS	1128				hypothetical protein
BHNFMJIF_00137	CDS	804				hypothetical protein
BHNFMJIF_00138	CDS	438				hypothetical protein
BHNFMJIF_00139	CDS	1287	sasA_1	2.7.13.3		Adaptive-response sensory-kinase SasA
BHNFMJIF_00140	CDS	678	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
BHNFMJIF_00141	CDS	738				hypothetical protein
BHNFMJIF_00142	CDS	1548		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
BHNFMJIF_00143	CDS	591				hypothetical protein
BHNFMJIF_00144	CDS	1659	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
BHNFMJIF_00145	CDS	732	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
BHNFMJIF_00146	CDS	2460				hypothetical protein
BHNFMJIF_00147	CDS	396				hypothetical protein
BHNFMJIF_00148	CDS	1773				hypothetical protein
BHNFMJIF_00149	tRNA	75				tRNA-Asp(gtc)
BHNFMJIF_00150	tRNA	75				tRNA-Asp(gtc)
BHNFMJIF_00151	CDS	591				hypothetical protein
BHNFMJIF_00152	CDS	537	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
BHNFMJIF_00153	CDS	471				hypothetical protein
BHNFMJIF_00154	CDS	618	recR		COG0353	Recombination protein RecR
BHNFMJIF_00155	CDS	1482	siaT_1		COG0591	Sodium/sialic acid symporter SiaT
BHNFMJIF_00156	CDS	603	engB		COG0218	putative GTP-binding protein EngB
BHNFMJIF_00157	CDS	2304	srmB_1	3.6.4.13		ATP-dependent RNA helicase SrmB
BHNFMJIF_00158	CDS	402				hypothetical protein
BHNFMJIF_00159	CDS	309				hypothetical protein
BHNFMJIF_00160	CDS	1653				hypothetical protein
BHNFMJIF_00161	CDS	162				hypothetical protein
BHNFMJIF_00162	CDS	150				hypothetical protein
BHNFMJIF_00163	CDS	123				hypothetical protein
BHNFMJIF_00164	CDS	657				hypothetical protein
BHNFMJIF_00165	CDS	1806				hypothetical protein
BHNFMJIF_00166	CDS	195				hypothetical protein
BHNFMJIF_00167	CDS	495				hypothetical protein
BHNFMJIF_00168	CDS	519				hypothetical protein
BHNFMJIF_00169	CDS	393				hypothetical protein
BHNFMJIF_00170	CDS	252				hypothetical protein
BHNFMJIF_00171	CDS	1086				hypothetical protein
BHNFMJIF_00172	CDS	1350	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
BHNFMJIF_00173	CDS	1038	lpsL	5.1.3.6	COG0451	UDP-glucuronate 4-epimerase
BHNFMJIF_00174	CDS	867				hypothetical protein
BHNFMJIF_00175	CDS	1098	wclR_1	2.4.1.343		UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol alpha-1,3-galactosyltransferase
BHNFMJIF_00176	CDS	1056	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
BHNFMJIF_00177	CDS	1068	gtfA_1	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
BHNFMJIF_00178	CDS	933				hypothetical protein
BHNFMJIF_00179	CDS	1032				hypothetical protein
BHNFMJIF_00180	CDS	1314				hypothetical protein
BHNFMJIF_00181	CDS	1287				hypothetical protein
BHNFMJIF_00182	CDS	1281				hypothetical protein
BHNFMJIF_00183	CDS	1533				hypothetical protein
BHNFMJIF_00184	CDS	834				hypothetical protein
BHNFMJIF_00185	CDS	1203	xerC_1			Tyrosine recombinase XerC
BHNFMJIF_00186	CDS	1854	ettA_1	3.6.1.-	COG0488	Energy-dependent translational throttle protein EttA
BHNFMJIF_00187	CDS	834				hypothetical protein
BHNFMJIF_00188	CDS	378				hypothetical protein
BHNFMJIF_00189	CDS	792				hypothetical protein
BHNFMJIF_00190	CDS	1191				hypothetical protein
BHNFMJIF_00191	CDS	378	ridA	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
BHNFMJIF_00192	CDS	2010	rho	3.6.4.-		Transcription termination factor Rho
BHNFMJIF_00193	CDS	1992				hypothetical protein
BHNFMJIF_00194	CDS	2247				hypothetical protein
BHNFMJIF_00195	CDS	1803	glmS_1	5.4.99.1		Glutamate mutase sigma subunit
BHNFMJIF_00196	CDS	1572	sglT_1			Sodium/glucose cotransporter
BHNFMJIF_00197	CDS	687				hypothetical protein
BHNFMJIF_00198	CDS	1011	hemE	4.1.1.37		Uroporphyrinogen decarboxylase
BHNFMJIF_00199	CDS	1866				hypothetical protein
BHNFMJIF_00200	CDS	3105			COG4771	TonB-dependent receptor P3
BHNFMJIF_00201	CDS	576				hypothetical protein
BHNFMJIF_00202	CDS	1059				IS1182 family transposase ISBthe2
BHNFMJIF_00203	CDS	1971				hypothetical protein
BHNFMJIF_00204	CDS	3201			COG1629	TonB-dependent receptor P26
BHNFMJIF_00205	CDS	285				hypothetical protein
BHNFMJIF_00206	CDS	555				hypothetical protein
BHNFMJIF_00207	CDS	3087				hypothetical protein
BHNFMJIF_00208	CDS	1683				hypothetical protein
BHNFMJIF_00209	CDS	633				hypothetical protein
BHNFMJIF_00210	CDS	1734				hypothetical protein
BHNFMJIF_00211	CDS	2010				hypothetical protein
BHNFMJIF_00212	CDS	3456				hypothetical protein
BHNFMJIF_00213	CDS	885				hypothetical protein
BHNFMJIF_00214	CDS	4404	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
BHNFMJIF_00215	CDS	2625	lacZ_1	3.2.1.23		Beta-galactosidase
BHNFMJIF_00216	CDS	2130	yhgF		COG2183	Protein YhgF
BHNFMJIF_00217	CDS	798	nudC_1	3.6.1.-	COG2816	NAD-capped RNA hydrolase NudC
BHNFMJIF_00218	CDS	1662	yidE			Putative transport protein YidE
BHNFMJIF_00219	CDS	2001	fbp	3.1.3.11		Fructose-1,6-bisphosphatase class 3
BHNFMJIF_00220	CDS	351	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
BHNFMJIF_00221	CDS	849	panC	6.3.2.1	COG0414	Pantothenate synthetase
BHNFMJIF_00222	CDS	825	glgA_1	2.4.1.21	COG0297	Glycogen synthase
BHNFMJIF_00223	CDS	1431				hypothetical protein
BHNFMJIF_00224	CDS	378				hypothetical protein
BHNFMJIF_00225	CDS	1125	dnaN		COG0592	Beta sliding clamp
BHNFMJIF_00226	CDS	777	dinG_1	3.1.-.-		3'-5' exonuclease DinG
BHNFMJIF_00227	CDS	1197	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
BHNFMJIF_00228	CDS	1662	recN		COG0497	DNA repair protein RecN
BHNFMJIF_00229	CDS	768		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
BHNFMJIF_00230	CDS	1701				hypothetical protein
BHNFMJIF_00231	CDS	1305	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
BHNFMJIF_00232	CDS	2469	der_1			GTPase Der
BHNFMJIF_00233	tRNA	73				tRNA-Cys(gca)
BHNFMJIF_00234	CDS	1656				IS1182 family transposase ISBthe2
BHNFMJIF_00235	CDS	753				hypothetical protein
BHNFMJIF_00236	CDS	228				hypothetical protein
BHNFMJIF_00237	CDS	618				hypothetical protein
BHNFMJIF_00238	CDS	927				hypothetical protein
BHNFMJIF_00239	CDS	384				hypothetical protein
BHNFMJIF_00240	CDS	1047	dnaG_1	2.7.7.101		DNA primase
BHNFMJIF_00241	CDS	1026				hypothetical protein
BHNFMJIF_00242	CDS	243				hypothetical protein
BHNFMJIF_00243	CDS	663				hypothetical protein
BHNFMJIF_00244	CDS	741				hypothetical protein
BHNFMJIF_00245	CDS	762				hypothetical protein
BHNFMJIF_00246	CDS	183				hypothetical protein
BHNFMJIF_00247	CDS	1137				hypothetical protein
BHNFMJIF_00248	CDS	720				hypothetical protein
BHNFMJIF_00249	CDS	105				hypothetical protein
BHNFMJIF_00250	CDS	174				hypothetical protein
BHNFMJIF_00251	tRNA	88				tRNA-Ser(gct)
BHNFMJIF_00252	tRNA	75				tRNA-Glu(ctc)
BHNFMJIF_00253	CDS	2229	pflB	2.3.1.54		Formate acetyltransferase
BHNFMJIF_00254	CDS	729	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
BHNFMJIF_00255	CDS	588				putative protein
BHNFMJIF_00256	CDS	1368	lutB		COG1139	Lactate utilization protein B
BHNFMJIF_00257	CDS	741	lutA		COG0247	Lactate utilization protein A
BHNFMJIF_00258	CDS	612	nreC		COG2197	Oxygen regulatory protein NreC
BHNFMJIF_00259	CDS	696				hypothetical protein
BHNFMJIF_00260	CDS	465	crtK-2		COG3476	Tryptophan-rich protein TspO
BHNFMJIF_00261	CDS	726	btsR_1		COG3279	Transcriptional regulatory protein BtsR
BHNFMJIF_00262	CDS	1056				hypothetical protein
BHNFMJIF_00263	CDS	1221	macB_1	7.6.2.-		Macrolide export ATP-binding/permease protein MacB
BHNFMJIF_00264	CDS	744	yknY_1	7.6.2.-	COG1136	putative ABC transporter ATP-binding protein YknY
BHNFMJIF_00265	CDS	1209	pvdR		COG0845	Pyoverdine export membrane fusion protein PvdR
BHNFMJIF_00266	CDS	1344	bepC			Outer membrane efflux protein BepC
BHNFMJIF_00267	CDS	219				hypothetical protein
BHNFMJIF_00268	CDS	1503	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
BHNFMJIF_00269	CDS	1146	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
BHNFMJIF_00270	CDS	705	nagB_1	3.5.99.6		Glucosamine-6-phosphate deaminase
BHNFMJIF_00271	CDS	1509	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
BHNFMJIF_00272	CDS	1437	gndA	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
BHNFMJIF_00273	CDS	1179	sstT		COG3633	Serine/threonine transporter SstT
BHNFMJIF_00274	CDS	1170				hypothetical protein
BHNFMJIF_00275	CDS	1059	ansB	3.5.1.1	COG0252	putative L-asparaginase periplasmic
BHNFMJIF_00276	CDS	1299	dcuA		COG2704	C4-dicarboxylate transporter DcuA
BHNFMJIF_00277	CDS	951		1.6.5.9		NADH:quinone reductase
BHNFMJIF_00278	CDS	1434	siaT_2		COG0591	Sodium/sialic acid symporter SiaT
BHNFMJIF_00279	CDS	933	dapA_1	4.3.3.7		4-hydroxy-tetrahydrodipicolinate synthase
BHNFMJIF_00280	CDS	1449	modF		COG1119	ABC transporter ATP-binding protein ModF
BHNFMJIF_00281	CDS	726				hypothetical protein
BHNFMJIF_00282	CDS	645	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
BHNFMJIF_00283	CDS	786	bioC_1	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
BHNFMJIF_00284	CDS	654			COG2830	putative protein
BHNFMJIF_00285	CDS	1170	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
BHNFMJIF_00286	CDS	1272	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
BHNFMJIF_00287	CDS	960	bioB_1	2.8.1.6		Biotin synthase
BHNFMJIF_00288	CDS	366				hypothetical protein
BHNFMJIF_00289	CDS	1413				hypothetical protein
BHNFMJIF_00290	CDS	1266	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
BHNFMJIF_00291	CDS	1941				hypothetical protein
BHNFMJIF_00292	CDS	666				hypothetical protein
BHNFMJIF_00293	CDS	1170	purT_1	6.3.1.21	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
BHNFMJIF_00294	CDS	1047				hypothetical protein
BHNFMJIF_00295	CDS	327				hypothetical protein
BHNFMJIF_00296	CDS	498	paiA	2.3.1.57	COG0456	Spermidine/spermine N(1)-acetyltransferase
BHNFMJIF_00297	CDS	717				hypothetical protein
BHNFMJIF_00298	CDS	1251				hypothetical protein
BHNFMJIF_00299	CDS	1518				hypothetical protein
BHNFMJIF_00300	CDS	2214	relA_1	2.7.6.5	COG0317	GTP pyrophosphokinase
BHNFMJIF_00301	CDS	354	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
BHNFMJIF_00302	CDS	414				hypothetical protein
BHNFMJIF_00303	CDS	807				hypothetical protein
BHNFMJIF_00304	CDS	762				hypothetical protein
BHNFMJIF_00305	CDS	1992				hypothetical protein
BHNFMJIF_00306	CDS	846	axeA1_1	3.1.1.72	COG0657	Acetylxylan esterase
BHNFMJIF_00307	CDS	483	ftnA_1	1.16.3.2		Bacterial non-heme ferritin
BHNFMJIF_00308	CDS	120				hypothetical protein
BHNFMJIF_00309	CDS	552	rpsP			Small ribosomal subunit protein bS16
BHNFMJIF_00310	CDS	858				hypothetical protein
BHNFMJIF_00311	CDS	1893				hypothetical protein
BHNFMJIF_00312	CDS	2598	btuB_1			Vitamin B12 transporter BtuB
BHNFMJIF_00313	CDS	3342				hypothetical protein
BHNFMJIF_00314	CDS	1689	ettA_2	3.6.1.-	COG0488	Energy-dependent translational throttle protein EttA
BHNFMJIF_00315	CDS	1167				hypothetical protein
BHNFMJIF_00316	CDS	822	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
BHNFMJIF_00317	CDS	651		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
BHNFMJIF_00318	CDS	1353	mepA_1		COG0534	Multidrug export protein MepA
BHNFMJIF_00319	CDS	1449	nhaP2		COG3263	K(+)/H(+) antiporter NhaP2
BHNFMJIF_00320	CDS	1254	mntH		COG1914	Divalent metal cation transporter MntH
BHNFMJIF_00321	CDS	399				hypothetical protein
BHNFMJIF_00322	CDS	1263				hypothetical protein
BHNFMJIF_00323	CDS	396				hypothetical protein
BHNFMJIF_00324	CDS	861	sigA			RNA polymerase sigma factor SigA
BHNFMJIF_00325	CDS	1524				hypothetical protein
BHNFMJIF_00326	CDS	588	rclC		COG3059	Inner membrane protein RclC
BHNFMJIF_00327	CDS	837				hypothetical protein
BHNFMJIF_00328	CDS	3138	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
BHNFMJIF_00329	CDS	1341				hypothetical protein
BHNFMJIF_00330	CDS	1341				hypothetical protein
BHNFMJIF_00331	CDS	2754		3.2.1.40	COG3408	Alpha-L-rhamnosidase
BHNFMJIF_00332	CDS	3312				hypothetical protein
BHNFMJIF_00333	CDS	2112				hypothetical protein
BHNFMJIF_00334	CDS	2334	btuB_2			Vitamin B12 transporter BtuB
BHNFMJIF_00335	CDS	1743	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
BHNFMJIF_00336	CDS	2004	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
BHNFMJIF_00337	CDS	972	dnaJ2		COG0484	Chaperone protein DnaJ 2
BHNFMJIF_00338	CDS	288				hypothetical protein
BHNFMJIF_00339	CDS	1329				hypothetical protein
BHNFMJIF_00340	CDS	603	ribE	2.5.1.9	COG0307	Riboflavin synthase
BHNFMJIF_00341	CDS	576				hypothetical protein
BHNFMJIF_00342	CDS	1656	fadD3	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
BHNFMJIF_00343	CDS	1350	ybdG_1		COG0668	Mechanosensing system component YbdG
BHNFMJIF_00344	CDS	204				hypothetical protein
BHNFMJIF_00345	CDS	204				hypothetical protein
BHNFMJIF_00346	tRNA	75				tRNA-Arg(tct)
BHNFMJIF_00347	CDS	717				hypothetical protein
BHNFMJIF_00348	CDS	738				hypothetical protein
BHNFMJIF_00349	CDS	4398	sasA_2	2.7.13.3		Adaptive-response sensory-kinase SasA
BHNFMJIF_00350	CDS	243				hypothetical protein
BHNFMJIF_00351	CDS	1500	lctP		COG1620	L-lactate permease
BHNFMJIF_00352	CDS	1287		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
BHNFMJIF_00353	CDS	495				hypothetical protein
BHNFMJIF_00354	CDS	2160	btuB_3			Vitamin B12 transporter BtuB
BHNFMJIF_00355	CDS	177				hypothetical protein
BHNFMJIF_00356	CDS	1014				hypothetical protein
BHNFMJIF_00357	CDS	648				hypothetical protein
BHNFMJIF_00358	CDS	645	dedA			DedA family protein
BHNFMJIF_00359	CDS	426				hypothetical protein
BHNFMJIF_00360	CDS	534	lrp		COG1522	Leucine-responsive regulatory protein
BHNFMJIF_00361	CDS	1041	corA_1		COG0598	Cobalt/magnesium transport protein CorA
BHNFMJIF_00362	CDS	354	yybR		COG1733	putative HTH-type transcriptional regulator YybR
BHNFMJIF_00363	CDS	498				hypothetical protein
BHNFMJIF_00364	CDS	639				hypothetical protein
BHNFMJIF_00365	CDS	861				hypothetical protein
BHNFMJIF_00366	CDS	342				hypothetical protein
BHNFMJIF_00367	CDS	168				hypothetical protein
BHNFMJIF_00368	CDS	687	xerC_2			Tyrosine recombinase XerC
BHNFMJIF_00369	CDS	1056				hypothetical protein
BHNFMJIF_00370	CDS	219				hypothetical protein
BHNFMJIF_00371	CDS	1557				hypothetical protein
BHNFMJIF_00372	CDS	1062				IS1182 family transposase ISBthe2
BHNFMJIF_00373	CDS	609				IS1182 family transposase ISBf3
BHNFMJIF_00374	CDS	474				hypothetical protein
BHNFMJIF_00375	CDS	546				hypothetical protein
BHNFMJIF_00376	CDS	453				hypothetical protein
BHNFMJIF_00377	CDS	789				IS21 family transposase ISRel16
BHNFMJIF_00378	CDS	1566				IS21 family transposase ISPpu7
BHNFMJIF_00379	tRNA	76				tRNA-Lys(ttt)
BHNFMJIF_00380	CDS	1080	cbh	2.3.1.-		Bile salt hydrolase/transferase
BHNFMJIF_00381	CDS	2232				hypothetical protein
BHNFMJIF_00382	CDS	1443				hypothetical protein
BHNFMJIF_00383	CDS	3231				hypothetical protein
BHNFMJIF_00384	CDS	2841	lacZ_2	3.2.1.23	COG3250	Beta-galactosidase
BHNFMJIF_00385	CDS	3192	lacZ_3	3.2.1.23	COG3250	Beta-galactosidase
BHNFMJIF_00386	CDS	1500			COG0702	SusD-like protein P38
BHNFMJIF_00387	CDS	3075			COG4771	TonB-dependent receptor P3
BHNFMJIF_00388	CDS	114				hypothetical protein
BHNFMJIF_00389	CDS	1446			COG0561	SusD-like protein
BHNFMJIF_00390	CDS	3120			COG4771	TonB-dependent receptor P3
BHNFMJIF_00391	CDS	1599	aspT_1			Aspartate/alanine antiporter
BHNFMJIF_00392	CDS	4281	lacZ_4	3.2.1.23		Beta-galactosidase
BHNFMJIF_00393	CDS	315				hypothetical protein
BHNFMJIF_00394	CDS	615				hypothetical protein
BHNFMJIF_00395	CDS	2706				hypothetical protein
BHNFMJIF_00396	CDS	930	xerC_3			Tyrosine recombinase XerC
BHNFMJIF_00397	CDS	567				hypothetical protein
BHNFMJIF_00398	CDS	1095				hypothetical protein
BHNFMJIF_00399	CDS	573				hypothetical protein
BHNFMJIF_00400	CDS	1410				hypothetical protein
BHNFMJIF_00401	CDS	1539				hypothetical protein
BHNFMJIF_00402	CDS	948				hypothetical protein
BHNFMJIF_00403	CDS	942	xerC_4			Tyrosine recombinase XerC
BHNFMJIF_00404	CDS	1404	gumD	2.7.8.31		UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
BHNFMJIF_00405	CDS	792				hypothetical protein
BHNFMJIF_00406	CDS	2412				hypothetical protein
BHNFMJIF_00407	CDS	450				hypothetical protein
BHNFMJIF_00408	CDS	102				hypothetical protein
BHNFMJIF_00409	CDS	429				hypothetical protein
BHNFMJIF_00410	CDS	231				hypothetical protein
BHNFMJIF_00411	CDS	2379				hypothetical protein
