locus_tag	ftype	length_bp	gene	EC_number	COG	product
JJAGMNAF_00047	CDS	792		3.2.1.103		Keratan-sulfate endo-1,4-beta-galactosidase
JJAGMNAF_00048	CDS	906				IS982 family transposase IS195
JJAGMNAF_00049	CDS	1389	algC	5.4.2.2		Phosphomannomutase/phosphoglucomutase
JJAGMNAF_00050	CDS	636				hypothetical protein
JJAGMNAF_00051	CDS	1041	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
JJAGMNAF_00052	CDS	1920				hypothetical protein
JJAGMNAF_00053	CDS	654	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
JJAGMNAF_00054	CDS	1296				hypothetical protein
JJAGMNAF_00055	CDS	543	algU_1			RNA polymerase sigma-H factor
JJAGMNAF_00056	CDS	783				hypothetical protein
JJAGMNAF_00057	CDS	975	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
JJAGMNAF_00058	CDS	1803	clcB			Voltage-gated ClC-type chloride channel ClcB
JJAGMNAF_00059	CDS	576	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
JJAGMNAF_00060	CDS	1164	nagA_1	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
JJAGMNAF_00061	CDS	3177	mdtC_1		COG0841	Multidrug resistance protein MdtC
JJAGMNAF_00062	CDS	1488				hypothetical protein
JJAGMNAF_00063	CDS	3081	mdtC_2			Multidrug resistance protein MdtC
JJAGMNAF_00064	CDS	1068	mdtA_1			Multidrug resistance protein MdtA
JJAGMNAF_00065	CDS	1650				hypothetical protein
JJAGMNAF_00066	CDS	1512				hypothetical protein
JJAGMNAF_00067	CDS	903				hypothetical protein
JJAGMNAF_00068	CDS	1905				hypothetical protein
JJAGMNAF_00069	CDS	1095				hypothetical protein
JJAGMNAF_00070	CDS	249				hypothetical protein
JJAGMNAF_00071	CDS	867				hypothetical protein
JJAGMNAF_00072	CDS	222				hypothetical protein
JJAGMNAF_00073	CDS	999				hypothetical protein
JJAGMNAF_00074	CDS	1080				hypothetical protein
JJAGMNAF_00075	CDS	789	nadX	1.4.1.21		L-aspartate dehydrogenase
JJAGMNAF_00076	CDS	885	hpr_1	1.1.1.81	COG1052	Hydroxypyruvate reductase
JJAGMNAF_00077	CDS	783	djlA			Co-chaperone protein DjlA
JJAGMNAF_00078	CDS	1569	prfC		COG4108	Peptide chain release factor 3
JJAGMNAF_00079	CDS	858	rmlD_1	1.1.1.133		dTDP-4-dehydrorhamnose reductase
JJAGMNAF_00080	CDS	543				hypothetical protein
JJAGMNAF_00081	CDS	660				hypothetical protein
JJAGMNAF_00082	CDS	3705	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
JJAGMNAF_00083	CDS	4017	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
JJAGMNAF_00084	CDS	549				hypothetical protein
JJAGMNAF_00085	CDS	573	srpC_1		COG2059	putative chromate transport protein
JJAGMNAF_00086	CDS	1500				hypothetical protein
JJAGMNAF_00087	CDS	2802	uvrA_1			UvrABC system protein A
JJAGMNAF_00088	CDS	1032				hypothetical protein
JJAGMNAF_00089	CDS	2307				hypothetical protein
JJAGMNAF_00090	CDS	492				hypothetical protein
JJAGMNAF_00091	CDS	222				hypothetical protein
JJAGMNAF_00092	CDS	1431				hypothetical protein
JJAGMNAF_00093	CDS	1680				hypothetical protein
JJAGMNAF_00094	CDS	216				hypothetical protein
JJAGMNAF_00095	CDS	999				hypothetical protein
JJAGMNAF_00096	CDS	594				hypothetical protein
JJAGMNAF_00097	CDS	1170	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
JJAGMNAF_00098	CDS	1116	prfA		COG0216	Peptide chain release factor 1
JJAGMNAF_00099	CDS	819	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
JJAGMNAF_00100	CDS	1236				hypothetical protein
JJAGMNAF_00101	CDS	1041	lpxD	2.3.1.191		UDP-3-O-acylglucosamine N-acyltransferase
JJAGMNAF_00102	CDS	1386	lpxC	3.5.1.108		UDP-3-O-acyl-N-acetylglucosamine deacetylase
JJAGMNAF_00103	CDS	768	lpxA_1	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
JJAGMNAF_00104	CDS	564				hypothetical protein
JJAGMNAF_00105	CDS	903	miaA_1	2.5.1.75	COG0324	tRNA dimethylallyltransferase
JJAGMNAF_00106	CDS	2040				hypothetical protein
JJAGMNAF_00107	CDS	111				hypothetical protein
JJAGMNAF_00108	CDS	774				hypothetical protein
JJAGMNAF_00109	CDS	1779	glaB_1	3.2.1.-	COG5434	Alpha-1,3-galactosidase B
JJAGMNAF_00110	CDS	1551		3.2.1.-	COG0673	Glycosyl hydrolase family 109 protein 1
JJAGMNAF_00111	CDS	192				hypothetical protein
JJAGMNAF_00112	CDS	1812				hypothetical protein
JJAGMNAF_00113	CDS	3402			COG1629	TonB-dependent receptor P26
JJAGMNAF_00114	CDS	975				hypothetical protein
JJAGMNAF_00115	CDS	597	sigW_1		COG1595	ECF RNA polymerase sigma factor SigW
JJAGMNAF_00116	CDS	2109	resA_1			Thiol-disulfide oxidoreductase ResA
JJAGMNAF_00117	CDS	1191	resA_2			Thiol-disulfide oxidoreductase ResA
JJAGMNAF_00118	CDS	1344	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
JJAGMNAF_00119	CDS	1887				hypothetical protein
JJAGMNAF_00120	CDS	384				hypothetical protein
JJAGMNAF_00121	CDS	1224		3.2.1.-	COG4225	Unsaturated glucuronyl hydrolase
JJAGMNAF_00122	CDS	1650		3.2.1.-	COG3507	Beta-xylosidase
JJAGMNAF_00123	CDS	1938		3.2.1.22	COG4948	Retaining alpha-galactosidase
JJAGMNAF_00124	CDS	2637				hypothetical protein
JJAGMNAF_00125	CDS	1086				hypothetical protein
JJAGMNAF_00126	CDS	1923				hypothetical protein
JJAGMNAF_00127	CDS	1386				hypothetical protein
JJAGMNAF_00128	CDS	1479				hypothetical protein
JJAGMNAF_00129	CDS	186				hypothetical protein
JJAGMNAF_00130	CDS	933				hypothetical protein
JJAGMNAF_00131	CDS	1437				hypothetical protein
JJAGMNAF_00132	CDS	2028				hypothetical protein
JJAGMNAF_00133	CDS	3327			COG1629	TonB-dependent receptor P26
JJAGMNAF_00134	CDS	516				hypothetical protein
JJAGMNAF_00135	CDS	2814				hypothetical protein
JJAGMNAF_00136	CDS	2727				hypothetical protein
JJAGMNAF_00137	CDS	1614				hypothetical protein
JJAGMNAF_00138	CDS	2367		3.2.1.-	COG1472	Beta-xylosidase
JJAGMNAF_00139	CDS	3426				hypothetical protein
JJAGMNAF_00140	CDS	1935		3.2.1.22	COG4948	Retaining alpha-galactosidase
JJAGMNAF_00141	CDS	1827			COG0702	SusD-like protein P25
JJAGMNAF_00142	CDS	3078			COG4771	TonB-dependent receptor P39
JJAGMNAF_00143	CDS	546				hypothetical protein
JJAGMNAF_00144	CDS	1227		3.2.1.-	COG4225	Unsaturated glucuronyl hydrolase
JJAGMNAF_00145	CDS	2805				hypothetical protein
JJAGMNAF_00146	tRNA	75				tRNA-Met(cat)
JJAGMNAF_00147	tRNA	75				tRNA-Met(cat)
JJAGMNAF_00148	CDS	387				hypothetical protein
JJAGMNAF_00149	CDS	1851				hypothetical protein
JJAGMNAF_00150	CDS	1215	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
JJAGMNAF_00151	CDS	1194		2.6.1.1		Aspartate/prephenate aminotransferase
JJAGMNAF_00152	CDS	168				Ferredoxin
JJAGMNAF_00153	CDS	2979	yfeW	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
JJAGMNAF_00154	CDS	843	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
JJAGMNAF_00155	CDS	780				hypothetical protein
JJAGMNAF_00156	CDS	354	rplS		COG0335	Large ribosomal subunit protein bL19
JJAGMNAF_00157	CDS	219				hypothetical protein
JJAGMNAF_00158	CDS	4281	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
JJAGMNAF_00159	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
JJAGMNAF_00160	CDS	1416				hypothetical protein
JJAGMNAF_00161	CDS	1908	yesW_1	4.2.2.23	COG3401	Rhamnogalacturonan endolyase YesW
JJAGMNAF_00162	CDS	1389				hypothetical protein
JJAGMNAF_00163	CDS	2352				hypothetical protein
JJAGMNAF_00164	CDS	384				hypothetical protein
JJAGMNAF_00165	CDS	723				hypothetical protein
JJAGMNAF_00166	CDS	1167				hypothetical protein
JJAGMNAF_00167	CDS	3321				hypothetical protein
JJAGMNAF_00168	CDS	1644				hypothetical protein
JJAGMNAF_00169	CDS	1827	yesW_2	4.2.2.23	COG3401	Rhamnogalacturonan endolyase YesW
JJAGMNAF_00170	CDS	2979		3.2.1.31	COG3250	Beta-glucuronidase
JJAGMNAF_00171	CDS	2856				hypothetical protein
JJAGMNAF_00172	CDS	1395	atsA_1	3.1.6.1		Arylsulfatase
JJAGMNAF_00173	CDS	1326				hypothetical protein
JJAGMNAF_00174	CDS	2310				hypothetical protein
JJAGMNAF_00175	CDS	3294			COG4771	TonB-dependent receptor P3
JJAGMNAF_00176	CDS	1182				hypothetical protein
JJAGMNAF_00177	CDS	1596				hypothetical protein
JJAGMNAF_00178	CDS	906				IS982 family transposase IS195
JJAGMNAF_00179	CDS	1614			COG1629	TonB-dependent receptor P26
JJAGMNAF_00180	CDS	2139				hypothetical protein
JJAGMNAF_00181	CDS	318				hypothetical protein
JJAGMNAF_00182	CDS	1782				hypothetical protein
JJAGMNAF_00183	CDS	1284		3.1.1.-		Carbohydrate esterase
JJAGMNAF_00184	CDS	1854	yesW_3	4.2.2.23	COG3401	Rhamnogalacturonan endolyase YesW
JJAGMNAF_00185	CDS	3288				hypothetical protein
JJAGMNAF_00186	CDS	1134		3.2.1.-	COG4225	Unsaturated 3S-rhamnoglycuronyl hydrolase
JJAGMNAF_00187	CDS	2115		3.2.1.23		Beta-galactosidase
JJAGMNAF_00188	CDS	2355				hypothetical protein
JJAGMNAF_00189	CDS	2868	lacZ_1	3.2.1.23		Beta-galactosidase
JJAGMNAF_00190	CDS	1275				hypothetical protein
JJAGMNAF_00191	CDS	1485				hypothetical protein
JJAGMNAF_00192	CDS	699				hypothetical protein
JJAGMNAF_00193	CDS	804				hypothetical protein
JJAGMNAF_00194	CDS	1425				hypothetical protein
JJAGMNAF_00195	CDS	2763				hypothetical protein
JJAGMNAF_00196	CDS	987	iaaA	3.4.19.5		Isoaspartyl peptidase
JJAGMNAF_00197	CDS	165				hypothetical protein
JJAGMNAF_00198	CDS	135				hypothetical protein
JJAGMNAF_00199	CDS	390		5.1.3.29	COG3254	L-fucose mutarotase
JJAGMNAF_00200	CDS	972	glk	2.7.1.2		Glucokinase
JJAGMNAF_00201	CDS	720	yknY_1	7.6.2.-	COG1136	putative ABC transporter ATP-binding protein YknY
JJAGMNAF_00202	CDS	1257	macB_1	7.6.2.-	COG0577	Macrolide export ATP-binding/permease protein MacB
JJAGMNAF_00203	CDS	1242	macB_2	7.6.2.-	COG0577	Macrolide export ATP-binding/permease protein MacB
JJAGMNAF_00204	CDS	1095	macA		COG0845	Macrolide export protein MacA
JJAGMNAF_00205	CDS	1317	srpC_2			Solvent efflux pump outer membrane protein SrpC
JJAGMNAF_00206	CDS	1359				hypothetical protein
JJAGMNAF_00207	CDS	954				hypothetical protein
JJAGMNAF_00208	CDS	834	cvfB			Conserved virulence factor B
JJAGMNAF_00209	CDS	1395	yqhD	1.1.1.2	COG1979	NADPH-dependent aldehyde reductase YqhD
JJAGMNAF_00210	CDS	954				hypothetical protein
JJAGMNAF_00211	CDS	660	lolD	7.6.2.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
JJAGMNAF_00212	CDS	723	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
JJAGMNAF_00213	CDS	2148	kefB_1			Glutathione-regulated potassium-efflux system protein KefB
JJAGMNAF_00214	CDS	1011	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
JJAGMNAF_00215	CDS	642				hypothetical protein
JJAGMNAF_00216	CDS	1542	glyQS	6.1.1.14		Glycine--tRNA ligase
JJAGMNAF_00217	CDS	2694	gyrA_1	5.6.2.2		DNA gyrase subunit A
JJAGMNAF_00218	CDS	846				hypothetical protein
JJAGMNAF_00219	CDS	1029				hypothetical protein
JJAGMNAF_00220	tRNA	83				tRNA-Leu(tag)
JJAGMNAF_00221	CDS	2454				hypothetical protein
JJAGMNAF_00222	CDS	1884		3.2.1.22	COG4948	Retaining alpha-galactosidase
JJAGMNAF_00223	CDS	384		5.1.3.29	COG3254	L-fucose mutarotase
JJAGMNAF_00224	CDS	1689			COG0702	SusD-like protein P25
JJAGMNAF_00225	CDS	3072	susC_1		COG1629	TonB-dependent receptor SusC
JJAGMNAF_00226	CDS	1647				hypothetical protein
JJAGMNAF_00227	CDS	861	rhaS_1			HTH-type transcriptional activator RhaS
JJAGMNAF_00228	CDS	933	fdh	1.1.1.122		D-threo-aldose 1-dehydrogenase
JJAGMNAF_00229	CDS	927				hypothetical protein
JJAGMNAF_00230	CDS	1260	fucP_1		COG0738	L-fucose-proton symporter
JJAGMNAF_00231	CDS	1020	yjmD	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YjmD
JJAGMNAF_00232	CDS	645				hypothetical protein
JJAGMNAF_00233	rRNA	111				5S ribosomal RNA
JJAGMNAF_00234	rRNA	2888				23S ribosomal RNA
JJAGMNAF_00235	tRNA	75				tRNA-Ala(tgc)
JJAGMNAF_00236	tRNA	75				tRNA-Ile(gat)
JJAGMNAF_00237	rRNA	1528				16S ribosomal RNA
JJAGMNAF_00238	CDS	429				hypothetical protein
JJAGMNAF_00239	CDS	297				hypothetical protein
JJAGMNAF_00240	CDS	99				hypothetical protein
JJAGMNAF_00241	CDS	534				hypothetical protein
JJAGMNAF_00242	CDS	1482	patA	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
JJAGMNAF_00243	CDS	963				hypothetical protein
JJAGMNAF_00244	CDS	1368				hypothetical protein
JJAGMNAF_00245	CDS	294				hypothetical protein
JJAGMNAF_00246	CDS	3171	mdtC_3			Multidrug resistance protein MdtC
JJAGMNAF_00247	CDS	1023	mdtE_1		COG0845	Multidrug resistance protein MdtE
JJAGMNAF_00248	CDS	1326				hypothetical protein
JJAGMNAF_00249	CDS	630				hypothetical protein
JJAGMNAF_00250	CDS	768	lpxA_2	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
JJAGMNAF_00251	CDS	1386	cusC_1		COG1538	Cation efflux system protein CusC
JJAGMNAF_00252	CDS	3219	bepE_1			Efflux pump membrane transporter BepE
JJAGMNAF_00253	CDS	1212	mepA_1		COG0845	Multidrug/solvent efflux pump periplasmic linker protein MepA
JJAGMNAF_00254	CDS	2286	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
JJAGMNAF_00255	CDS	1335	gdhA	1.4.1.3		NAD(P)-specific glutamate dehydrogenase
JJAGMNAF_00256	CDS	1149				hypothetical protein
JJAGMNAF_00257	CDS	777				hypothetical protein
JJAGMNAF_00258	CDS	147				hypothetical protein
JJAGMNAF_00259	CDS	1206				hypothetical protein
JJAGMNAF_00260	CDS	2958				hypothetical protein
JJAGMNAF_00261	CDS	1338	gdhB	1.4.1.2		NAD-specific glutamate dehydrogenase
JJAGMNAF_00262	CDS	396				hypothetical protein
JJAGMNAF_00263	CDS	1302				hypothetical protein
JJAGMNAF_00264	CDS	513	ybdM_1		COG1475	putative protein YbdM
JJAGMNAF_00265	CDS	1824				hypothetical protein
JJAGMNAF_00266	CDS	942	mdh_1	1.1.1.37		Malate dehydrogenase
JJAGMNAF_00267	CDS	873				hypothetical protein
JJAGMNAF_00268	CDS	882				hypothetical protein
JJAGMNAF_00269	CDS	552				hypothetical protein
JJAGMNAF_00270	CDS	987				hypothetical protein
JJAGMNAF_00271	CDS	1176				hypothetical protein
JJAGMNAF_00272	CDS	1251				hypothetical protein
JJAGMNAF_00273	CDS	429				hypothetical protein
JJAGMNAF_00274	CDS	366				hypothetical protein
JJAGMNAF_00275	CDS	1851				hypothetical protein
JJAGMNAF_00276	CDS	1104				Iron-sulfur cluster carrier protein
JJAGMNAF_00277	CDS	759	trmB	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
JJAGMNAF_00278	CDS	627				hypothetical protein
JJAGMNAF_00279	CDS	1020	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
JJAGMNAF_00280	CDS	204	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
JJAGMNAF_00281	CDS	1308	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
JJAGMNAF_00282	CDS	1374				hypothetical protein
JJAGMNAF_00283	CDS	1371	mepA_2		COG0534	Multidrug export protein MepA
JJAGMNAF_00284	CDS	630	cmk_1	2.7.4.25		Cytidylate kinase
JJAGMNAF_00285	CDS	1857				hypothetical protein
JJAGMNAF_00286	CDS	405				hypothetical protein
JJAGMNAF_00287	CDS	927				hypothetical protein
JJAGMNAF_00288	CDS	588				hypothetical protein
JJAGMNAF_00289	CDS	240				hypothetical protein
JJAGMNAF_00290	CDS	2106				hypothetical protein
JJAGMNAF_00291	CDS	2310				hypothetical protein
JJAGMNAF_00292	CDS	300				hypothetical protein
JJAGMNAF_00293	CDS	2316				hypothetical protein
JJAGMNAF_00294	CDS	1362				hypothetical protein
JJAGMNAF_00295	CDS	192				hypothetical protein
JJAGMNAF_00296	CDS	198				hypothetical protein
JJAGMNAF_00297	CDS	384				hypothetical protein
JJAGMNAF_00298	CDS	354	pqqE_1	1.21.98.4		PqqA peptide cyclase
JJAGMNAF_00299	CDS	327				hypothetical protein
JJAGMNAF_00300	CDS	1245				hypothetical protein
JJAGMNAF_00301	CDS	582				hypothetical protein
JJAGMNAF_00302	CDS	414				hypothetical protein
JJAGMNAF_00303	CDS	240				hypothetical protein
JJAGMNAF_00304	CDS	915				hypothetical protein
JJAGMNAF_00305	CDS	2202	apxIB			Toxin RTX-I translocation ATP-binding protein
JJAGMNAF_00306	CDS	1146				hypothetical protein
JJAGMNAF_00307	CDS	204				hypothetical protein
JJAGMNAF_00308	CDS	1506	pqqE_2	1.21.98.4		PqqA peptide cyclase
JJAGMNAF_00309	CDS	546				hypothetical protein
JJAGMNAF_00310	CDS	393				hypothetical protein
JJAGMNAF_00311	CDS	162				hypothetical protein
JJAGMNAF_00312	CDS	2055	ppk_1	2.7.4.1	COG0855	Polyphosphate kinase
JJAGMNAF_00313	CDS	498				hypothetical protein
JJAGMNAF_00314	CDS	1140	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
JJAGMNAF_00315	CDS	3093			COG1629	TonB-dependent receptor P26
JJAGMNAF_00316	CDS	1818				hypothetical protein
JJAGMNAF_00317	CDS	3228	lacZ_2	3.2.1.23	COG3250	Beta-galactosidase
JJAGMNAF_00318	CDS	2070	ygjK_1	3.2.1.-	COG1626	Glucosidase YgjK
JJAGMNAF_00319	CDS	1536			COG0702	SusD-like protein P2
JJAGMNAF_00320	CDS	3504			COG4771	TonB-dependent receptor P3
JJAGMNAF_00321	CDS	987				hypothetical protein
JJAGMNAF_00322	CDS	582	rpoE_1		COG1595	ECF RNA polymerase sigma-E factor
JJAGMNAF_00323	CDS	1635	yheS_1		COG0488	putative ATP-binding protein YheS
JJAGMNAF_00324	CDS	1671	aspT_1			Aspartate/alanine antiporter
JJAGMNAF_00325	CDS	1911	mutA	5.4.99.2		Methylmalonyl-CoA mutase small subunit
JJAGMNAF_00326	CDS	2151	mutB	5.4.99.2		Methylmalonyl-CoA mutase large subunit
JJAGMNAF_00327	CDS	1338				hypothetical protein
JJAGMNAF_00328	CDS	1962			COG4771	TonB-dependent receptor P3
JJAGMNAF_00329	CDS	363				hypothetical protein
JJAGMNAF_00330	CDS	2310				hypothetical protein
JJAGMNAF_00331	CDS	1497	sasA_2	2.7.13.3		Adaptive-response sensory-kinase SasA
JJAGMNAF_00332	CDS	1194	ybdG_1		COG0668	Mechanosensing system component YbdG
JJAGMNAF_00333	CDS	3117	bepE_2			Efflux pump membrane transporter BepE
JJAGMNAF_00334	CDS	1131	bepF_1			Efflux pump periplasmic linker BepF
JJAGMNAF_00335	CDS	1398	oprM_1			Outer membrane protein OprM
JJAGMNAF_00336	CDS	543				hypothetical protein
JJAGMNAF_00337	CDS	822				hypothetical protein
JJAGMNAF_00338	CDS	231				hypothetical protein
JJAGMNAF_00339	CDS	150				hypothetical protein
JJAGMNAF_00340	CDS	1065				hypothetical protein
JJAGMNAF_00341	CDS	261				hypothetical protein
JJAGMNAF_00342	CDS	894	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
JJAGMNAF_00343	CDS	1020	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
JJAGMNAF_00344	CDS	381				hypothetical protein
JJAGMNAF_00345	CDS	1707	caiA	1.3.8.13		Crotonobetainyl-CoA reductase
JJAGMNAF_00346	CDS	609				hypothetical protein
JJAGMNAF_00347	CDS	411	paaI	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
JJAGMNAF_00348	CDS	1089				hypothetical protein
JJAGMNAF_00349	CDS	1218	queA_1	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
JJAGMNAF_00350	CDS	1998	hutU	4.2.1.49		Urocanate hydratase
JJAGMNAF_00351	CDS	114				hypothetical protein
JJAGMNAF_00352	CDS	885		2.1.2.5		Glutamate formimidoyltransferase
JJAGMNAF_00353	CDS	387				hypothetical protein
JJAGMNAF_00354	CDS	1245	hutI	3.5.2.7	COG1228	Imidazolonepropionase
JJAGMNAF_00355	CDS	624	fchA	3.5.4.9	COG3404	Methenyltetrahydrofolate cyclohydrolase
JJAGMNAF_00356	CDS	1497	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
JJAGMNAF_00357	CDS	501	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
JJAGMNAF_00358	CDS	1416		3.2.1.-	COG0673	Glycosyl hydrolase family 109 protein 1
JJAGMNAF_00359	CDS	546	csh	3.13.1.5		Carbon disulfide hydrolase
JJAGMNAF_00360	CDS	585				hypothetical protein
JJAGMNAF_00361	CDS	1383	mepA_3			Multidrug export protein MepA
JJAGMNAF_00362	tRNA	75				tRNA-Thr(tgt)
JJAGMNAF_00363	CDS	1638	groEL	5.6.1.7		Chaperonin GroEL
JJAGMNAF_00364	CDS	273	groES		COG0234	Co-chaperonin GroES
JJAGMNAF_00365	CDS	1752	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
JJAGMNAF_00366	CDS	1035		1.8.-.-	COG0502	[FeFe] hydrogenase maturase subunit HydE
JJAGMNAF_00367	CDS	1419	bioB_1	2.8.1.6		Biotin synthase
JJAGMNAF_00368	CDS	1191	mnmE_1	3.6.-.-		tRNA modification GTPase MnmE
JJAGMNAF_00369	CDS	1365	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
JJAGMNAF_00370	CDS	288	rbsB_1			D-ribose/D-allose-binding protein
JJAGMNAF_00371	CDS	1005				hypothetical protein
JJAGMNAF_00372	CDS	351				hypothetical protein
JJAGMNAF_00373	CDS	648	rbsB_2			D-ribose/D-allose-binding protein
JJAGMNAF_00374	CDS	1017				hypothetical protein
JJAGMNAF_00375	CDS	1425	sftI	5.3.1.31		Sulfoquinovose isomerase
JJAGMNAF_00376	CDS	1497	glpK	2.7.1.30		Glycerol kinase
JJAGMNAF_00377	CDS	939	aptB	2.2.1.13	COG3958	Apulose-4-phosphate transketolase subunit B
JJAGMNAF_00378	CDS	846	aptA	2.2.1.13	COG3959	Apulose-4-phosphate transketolase subunit A
JJAGMNAF_00379	CDS	756	srlR		COG1349	Glucitol operon repressor
JJAGMNAF_00380	CDS	615	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
JJAGMNAF_00381	CDS	1605				hypothetical protein
JJAGMNAF_00382	CDS	4323	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
JJAGMNAF_00383	CDS	1698			COG0702	SusD-like protein P2
